train_loss,val_loss,train_accuracy,val_accuracy
0.0091174753382802,0.013735154643654823,0.9125,0.875
0.013054519053548574,0.009206177666783333,1.9,0.925
0.006527259526774287,0.005423369817435741,0.95,0.95
0.016905144788324833,0.005705300252884626,1.825,0.95
0.008452572394162416,0.00913251657038927,0.9125,0.875
0.019258596003055573,0.006684538908302784,1.7625,0.95
0.009629298001527786,0.0063406541012227535,0.88125,0.975
0.017512946948409082,0.012079095467925072,1.8625,0.925
0.008756473474204541,0.012771258130669594,0.93125,0.85
0.018687831796705724,0.008069239556789398,1.8625,0.925
0.009343915898352862,0.009976118803024292,0.93125,0.9
